"Time","kWh"
2022-10-27 16:17:19,33.43
2022-10-27 16:17:49,33.77
2022-10-27 16:18:19,34.06
2022-10-27 16:18:49,34.08
2022-10-27 16:19:19,34.20
2022-10-27 16:19:49,34.26
2022-10-27 16:20:19,34.32
2022-10-27 16:20:49,34.42
2022-10-27 16:21:19,34.43
2022-10-27 16:21:49,34.47
2022-10-27 16:22:19,34.51
2022-10-27 16:22:49,34.59
2022-10-27 16:23:49,34.67
2022-10-27 16:24:19,34.68
2022-10-27 16:24:49,34.73
2022-10-27 16:25:19,34.76
2022-10-27 16:26:19,34.83
2022-10-27 16:26:49,34.84
2022-10-27 16:27:19,34.90
2022-10-27 16:27:49,34.91
2022-10-27 16:28:19,34.98
2022-10-27 16:28:49,34.99
2022-10-27 16:29:49,35.06
2022-10-27 16:30:49,35.12
2022-10-27 16:31:48,35.13
2022-10-27 16:32:18,35.19
2022-10-27 16:32:48,35.22
2022-10-27 16:33:48,35.23
2022-10-27 16:34:48,35.24
2022-10-27 16:35:48,35.31
2022-10-27 16:37:18,35.32
2022-10-27 16:37:48,35.38
2022-10-27 16:38:48,35.39
2022-10-27 16:39:18,35.54
2022-10-27 16:39:49,35.55
2022-10-27 16:40:49,35.56
2022-10-27 16:42:19,35.63
2022-10-27 16:43:19,35.64
2022-10-27 16:43:49,35.66
2022-10-27 16:44:19,35.70
2022-10-27 16:44:49,35.71
2022-10-27 18:20:49,35.72
2022-10-27 18:21:19,35.74
2022-10-27 18:21:49,36.07
2022-10-27 18:22:19,36.41
2022-10-27 18:22:49,36.74
2022-10-27 18:23:19,37.07
2022-10-27 18:23:49,37.30
2022-10-27 18:24:19,37.64
2022-10-27 18:24:49,37.83
2022-10-27 18:25:19,37.97
2022-10-27 18:25:49,38.13
2022-10-27 18:26:19,38.30
2022-10-27 18:26:49,38.34
2022-10-27 18:27:19,38.54
2022-10-27 18:27:49,38.55
2022-10-27 18:28:49,38.56
2022-10-27 18:30:19,38.57
2022-10-27 18:31:19,38.58
2022-10-27 18:32:19,38.59
2022-10-27 18:33:19,38.60
2022-10-27 18:34:19,38.61
2022-10-27 18:35:19,38.62
2022-10-27 18:36:19,38.63
2022-10-27 18:37:19,38.64
2022-10-27 18:38:19,38.65
2022-10-27 18:39:19,38.66
2022-10-27 18:40:19,38.67
2022-10-27 18:41:19,38.68
2022-10-27 18:42:19,38.69
2022-10-27 18:43:19,38.70
2022-10-27 18:44:19,38.71
2022-10-27 18:45:19,38.72
2022-10-27 18:46:19,38.73
2022-10-27 18:47:19,38.74
2022-10-27 18:48:49,38.75
2022-10-27 18:49:19,38.76
2022-10-27 18:50:49,38.77
2022-10-27 18:51:19,38.78
2022-10-27 18:52:49,38.79
2022-10-27 18:53:49,38.80
2022-10-27 18:54:49,38.81
2022-10-27 18:55:49,38.82
2022-10-27 18:56:49,38.83
2022-10-27 18:57:49,38.84
2022-10-27 18:58:49,38.85
2022-10-27 18:59:49,38.86
2022-10-27 19:00:49,38.87
2022-10-27 19:01:49,38.88
2022-10-27 19:02:49,38.89
2022-10-27 19:03:49,38.90
2022-10-27 19:04:49,38.91
2022-10-27 19:05:49,38.92
2022-10-27 19:06:49,38.93
2022-10-27 19:07:49,38.94
2022-10-27 19:08:49,38.95
2022-10-27 19:09:49,38.96
2022-10-27 19:10:49,38.97
2022-10-27 19:11:49,38.98
2022-10-27 19:12:49,38.99
2022-10-27 19:13:49,39.00
2022-10-27 19:14:49,39.01
2022-10-27 19:15:49,39.02
2022-10-27 19:16:19,39.03
2022-10-27 19:17:49,39.04
2022-10-27 19:18:49,39.05
2022-10-27 19:19:19,39.06
2022-10-27 19:20:49,39.07
2022-10-27 19:21:19,39.08
2022-10-27 19:22:19,39.09
2022-10-27 19:23:19,39.10
2022-10-27 19:24:19,39.11
2022-10-27 19:25:19,39.12
2022-10-27 19:26:19,39.13
2022-10-27 19:27:19,39.14
2022-10-27 19:29:49,39.15
2022-10-27 19:32:49,39.16
2022-10-27 19:34:19,39.17
2022-10-27 19:35:49,39.18
2022-10-27 19:36:49,39.19
2022-10-27 19:39:49,39.20
2022-10-27 19:41:19,39.21
2022-10-27 19:41:49,39.22
2022-10-27 19:42:49,39.23
2022-10-27 19:43:49,39.24
2022-10-27 19:44:19,39.25
2022-10-27 19:45:19,39.26
2022-10-27 19:45:49,39.27
2022-10-27 19:46:49,39.28
2022-10-27 19:47:19,39.29
2022-10-27 19:48:19,39.30
2022-10-27 19:48:49,39.31
2022-10-27 19:49:49,39.32
2022-10-27 19:50:19,39.33
2022-10-27 19:51:19,39.34
2022-10-27 19:52:19,39.35
2022-10-27 19:52:49,39.36
2022-10-27 19:53:49,39.37
2022-10-27 19:54:19,39.38
2022-10-27 19:55:19,39.39
2022-10-27 19:56:19,39.40
2022-10-27 19:58:19,39.41
2022-10-27 19:58:49,39.42
2022-10-27 19:59:49,39.43
2022-10-27 20:00:19,39.44
2022-10-27 20:01:19,39.45
2022-10-27 20:02:19,39.46
2022-10-27 20:03:49,39.47
2022-10-27 20:04:19,39.48
2022-10-27 20:05:19,39.49
2022-10-27 20:05:49,39.50
2022-10-27 20:06:49,39.51
2022-10-27 20:09:19,39.53
2022-10-27 20:10:49,39.54
2022-10-27 20:11:19,39.68
2022-10-27 20:11:49,40.02
2022-10-27 20:12:19,40.36
2022-10-27 20:12:49,40.70
2022-10-27 20:13:19,40.93
2022-10-27 20:13:49,41.27
2022-10-27 20:14:19,41.40
2022-10-27 20:14:49,41.58
2022-10-27 20:15:19,41.92
2022-10-27 20:15:49,42.20
2022-10-27 20:16:19,42.26
2022-10-27 20:16:49,42.43
2022-10-27 20:17:19,42.44
2022-10-27 20:17:49,42.62
2022-10-27 20:18:49,42.71
2022-10-27 20:19:49,42.76
2022-10-27 20:24:49,42.77
2022-10-27 20:29:49,42.78
2022-10-27 20:38:49,42.79
2022-10-27 20:46:49,42.80
2022-10-27 20:53:49,42.81
2022-10-27 21:02:49,42.82
2022-10-27 21:10:19,42.83
2022-10-27 21:19:19,42.84
2022-10-27 21:26:49,42.85
2022-10-27 21:35:49,42.86
2022-10-27 21:42:49,42.87
2022-10-27 21:50:49,42.88
2022-10-27 21:59:50,42.89
2022-10-27 22:07:19,42.90
2022-10-27 22:15:49,42.91
2022-10-27 22:23:19,42.92
2022-10-27 22:31:49,42.93
2022-10-27 22:39:19,42.94
2022-10-27 22:47:49,42.95
2022-10-27 22:55:20,42.96
2022-10-27 23:03:19,42.97
2022-10-27 23:12:20,42.98
2022-10-27 23:19:20,42.99
2022-10-27 23:28:20,43.00
2022-10-27 23:35:20,43.01
2022-10-27 23:43:50,43.02
2022-10-27 23:51:20,43.03
2022-10-27 23:59:50,43.04
2022-10-28 00:07:50,43.05
2022-10-28 00:15:20,43.06
2022-10-28 00:23:50,43.07
2022-10-28 00:30:50,43.08
2022-10-28 00:39:50,43.09
2022-10-28 00:46:50,43.10
2022-10-28 00:55:20,43.11
2022-10-28 01:02:20,43.12
2022-10-28 01:11:20,43.13
2022-10-28 01:19:20,43.14
2022-10-28 01:26:20,43.15
2022-10-28 01:34:50,43.16
2022-10-28 01:41:50,43.17
2022-10-28 01:50:50,43.18
2022-10-28 01:57:50,43.19
2022-10-28 02:06:20,43.20
2022-10-28 02:13:50,43.21
2022-10-28 02:21:50,43.22
2022-10-28 02:30:20,43.23
2022-10-28 02:37:20,43.24
2022-10-28 02:46:20,43.25
2022-10-28 02:53:20,43.26
2022-10-28 03:01:50,43.27
2022-10-28 03:09:20,43.28
2022-10-28 03:17:50,43.29
2022-10-28 03:25:50,43.30
2022-10-28 03:32:50,43.31
2022-10-28 03:41:50,43.32
2022-10-28 03:48:51,43.33
2022-10-28 03:57:20,43.34
2022-10-28 04:04:50,43.35
2022-10-28 04:13:20,43.36
2022-10-28 04:20:20,43.37
